2024-03-14 14:00:55,727 - INFO - get_price.py[31]:当前页面地址标题:Tuna Chain Liquidity Bootstrapping Pool
2024-03-14 15:03:00,259 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:04:00,280 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:05:00,303 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:06:00,331 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:07:00,355 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:08:00,378 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:09:00,412 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:10:00,444 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:11:00,460 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:12:00,494 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:13:00,522 - INFO - get_price.py[49]:当前价格:0.488793,我期望的价格:0.45
2024-03-14 15:14:00,567 - INFO - get_price.py[49]:当前价格:0.514164,我期望的价格:0.45
2024-03-14 15:15:00,702 - INFO - get_price.py[49]:当前价格:0.513721,我期望的价格:0.45
2024-03-14 15:16:00,758 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:17:00,781 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:18:00,822 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:19:00,869 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:20:00,909 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:21:00,931 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:22:00,969 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:23:01,016 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:24:01,663 - INFO - get_price.py[49]:当前价格:0.513568,我期望的价格:0.45
2024-03-14 15:25:01,757 - INFO - get_price.py[49]:当前价格:0.51073,我期望的价格:0.45
2024-03-14 15:26:01,789 - INFO - get_price.py[49]:当前价格:0.51073,我期望的价格:0.45
2024-03-14 15:27:01,815 - INFO - get_price.py[49]:当前价格:0.51073,我期望的价格:0.45
2024-03-14 15:28:01,865 - INFO - get_price.py[49]:当前价格:0.521688,我期望的价格:0.45
2024-03-14 15:29:01,957 - INFO - get_price.py[49]:当前价格:0.521636,我期望的价格:0.45
2024-03-14 15:30:02,006 - INFO - get_price.py[49]:当前价格:0.521296,我期望的价格:0.45
2024-03-14 15:31:02,050 - INFO - get_price.py[49]:当前价格:0.520972,我期望的价格:0.45
2024-03-14 15:32:02,095 - INFO - get_price.py[49]:当前价格:0.520972,我期望的价格:0.45
2024-03-14 15:33:02,138 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:34:02,185 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:35:02,226 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:36:02,260 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:37:02,300 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:38:02,325 - INFO - get_price.py[49]:当前价格:0.5204,我期望的价格:0.45
2024-03-14 15:39:02,373 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:40:02,418 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:41:02,482 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:42:02,546 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:43:02,641 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:44:02,680 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:45:02,711 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:46:02,744 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 15:47:02,770 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:48:02,787 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:49:02,817 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:50:02,833 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:51:02,865 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:52:02,891 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:53:02,918 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:54:02,949 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:55:02,971 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:56:02,992 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:57:03,012 - INFO - get_price.py[49]:当前价格:0.516614,我期望的价格:0.45
2024-03-14 15:58:03,038 - INFO - get_price.py[49]:当前价格:0.514396,我期望的价格:0.45
2024-03-14 15:59:03,061 - INFO - get_price.py[49]:当前价格:0.514396,我期望的价格:0.45
2024-03-14 16:00:03,089 - INFO - get_price.py[49]:当前价格:0.527248,我期望的价格:0.45
2024-03-14 16:01:03,117 - INFO - get_price.py[49]:当前价格:0.52714,我期望的价格:0.45
2024-03-14 16:02:03,138 - INFO - get_price.py[49]:当前价格:0.52714,我期望的价格:0.45
2024-03-14 16:03:03,164 - INFO - get_price.py[49]:当前价格:0.52714,我期望的价格:0.45
2024-03-14 16:04:03,187 - INFO - get_price.py[49]:当前价格:0.526634,我期望的价格:0.45
2024-03-14 16:05:03,208 - INFO - get_price.py[49]:当前价格:0.526634,我期望的价格:0.45
2024-03-14 16:06:03,241 - INFO - get_price.py[49]:当前价格:0.526634,我期望的价格:0.45
2024-03-14 16:07:03,269 - INFO - get_price.py[49]:当前价格:0.525528,我期望的价格:0.45
2024-03-14 16:08:03,299 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:09:03,332 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:10:03,363 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:11:03,388 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:12:03,411 - INFO - get_price.py[49]:当前价格:0.524581,我期望的价格:0.45
2024-03-14 16:13:03,444 - INFO - get_price.py[49]:当前价格:0.523121,我期望的价格:0.45
2024-03-14 16:14:03,470 - INFO - get_price.py[49]:当前价格:0.523121,我期望的价格:0.45
2024-03-14 16:15:03,491 - INFO - get_price.py[49]:当前价格:0.526086,我期望的价格:0.45
2024-03-14 16:16:03,519 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:17:03,546 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:18:03,565 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:19:03,584 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:20:03,613 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:21:03,639 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:22:03,654 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:23:03,674 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:24:03,697 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:25:03,726 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:26:03,754 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:27:03,779 - INFO - get_price.py[49]:当前价格:0.525689,我期望的价格:0.45
2024-03-14 16:28:03,799 - INFO - get_price.py[49]:当前价格:0.522067,我期望的价格:0.45
2024-03-14 16:29:03,816 - INFO - get_price.py[49]:当前价格:0.522067,我期望的价格:0.45
2024-03-14 16:30:03,848 - INFO - get_price.py[49]:当前价格:0.525263,我期望的价格:0.45
2024-03-14 16:31:03,868 - INFO - get_price.py[49]:当前价格:0.525263,我期望的价格:0.45
2024-03-14 16:32:03,888 - INFO - get_price.py[49]:当前价格:0.525263,我期望的价格:0.45
2024-03-14 16:33:03,922 - INFO - get_price.py[49]:当前价格:0.525263,我期望的价格:0.45
2024-03-14 16:34:03,952 - INFO - get_price.py[49]:当前价格:0.5258,我期望的价格:0.45
2024-03-14 16:35:03,978 - INFO - get_price.py[49]:当前价格:0.5258,我期望的价格:0.45
2024-03-14 16:36:04,022 - INFO - get_price.py[49]:当前价格:0.5258,我期望的价格:0.45
2024-03-14 16:37:04,039 - INFO - get_price.py[49]:当前价格:0.525148,我期望的价格:0.45
2024-03-14 16:38:04,095 - INFO - get_price.py[49]:当前价格:0.525148,我期望的价格:0.45
2024-03-14 16:39:04,114 - INFO - get_price.py[49]:当前价格:0.525148,我期望的价格:0.45
2024-03-14 16:40:04,145 - INFO - get_price.py[49]:当前价格:0.522085,我期望的价格:0.45
2024-03-14 16:41:04,177 - INFO - get_price.py[49]:当前价格:0.523659,我期望的价格:0.45
2024-03-14 16:42:04,197 - INFO - get_price.py[49]:当前价格:0.523659,我期望的价格:0.45
2024-03-14 16:43:04,225 - INFO - get_price.py[49]:当前价格:0.523659,我期望的价格:0.45
2024-03-14 16:44:04,251 - INFO - get_price.py[49]:当前价格:0.523659,我期望的价格:0.45
2024-03-14 16:45:04,271 - INFO - get_price.py[49]:当前价格:0.522991,我期望的价格:0.45
2024-03-14 16:46:04,294 - INFO - get_price.py[49]:当前价格:0.522991,我期望的价格:0.45
2024-03-14 16:47:04,321 - INFO - get_price.py[49]:当前价格:0.523878,我期望的价格:0.45
2024-03-14 16:48:04,350 - INFO - get_price.py[49]:当前价格:0.523878,我期望的价格:0.45
2024-03-14 16:49:04,372 - INFO - get_price.py[49]:当前价格:0.523878,我期望的价格:0.45
2024-03-14 16:50:04,396 - INFO - get_price.py[49]:当前价格:0.525322,我期望的价格:0.45
2024-03-14 16:51:04,413 - INFO - get_price.py[49]:当前价格:0.524898,我期望的价格:0.45
2024-03-14 16:52:04,443 - INFO - get_price.py[49]:当前价格:0.524898,我期望的价格:0.45
2024-03-14 16:53:04,467 - INFO - get_price.py[49]:当前价格:0.524898,我期望的价格:0.45
2024-03-14 16:54:04,491 - INFO - get_price.py[49]:当前价格:0.524898,我期望的价格:0.45
2024-03-14 16:55:04,507 - INFO - get_price.py[49]:当前价格:0.523834,我期望的价格:0.45
2024-03-14 16:56:04,528 - INFO - get_price.py[49]:当前价格:0.523834,我期望的价格:0.45
2024-03-14 16:57:04,546 - INFO - get_price.py[49]:当前价格:0.523834,我期望的价格:0.45
2024-03-14 16:58:04,571 - INFO - get_price.py[49]:当前价格:0.523834,我期望的价格:0.45
2024-03-14 16:59:04,598 - INFO - get_price.py[49]:当前价格:0.523834,我期望的价格:0.45
2024-03-14 17:00:04,620 - INFO - get_price.py[49]:当前价格:0.523491,我期望的价格:0.45
2024-03-14 17:01:04,647 - INFO - get_price.py[49]:当前价格:0.523491,我期望的价格:0.45
2024-03-14 17:02:04,675 - INFO - get_price.py[49]:当前价格:0.523491,我期望的价格:0.45
2024-03-14 17:03:04,700 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:04:04,733 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:05:04,757 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:06:04,779 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:07:04,815 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:08:04,847 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:09:04,865 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:10:04,900 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:11:04,926 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:12:04,954 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:13:04,985 - INFO - get_price.py[49]:当前价格:0.522406,我期望的价格:0.45
2024-03-14 17:14:05,012 - INFO - get_price.py[49]:当前价格:0.519804,我期望的价格:0.45
2024-03-14 17:15:05,041 - INFO - get_price.py[49]:当前价格:0.519804,我期望的价格:0.45
2024-03-14 17:16:05,061 - INFO - get_price.py[49]:当前价格:0.519804,我期望的价格:0.45
2024-03-14 17:17:05,086 - INFO - get_price.py[49]:当前价格:0.519804,我期望的价格:0.45
2024-03-14 17:18:05,115 - INFO - get_price.py[49]:当前价格:0.521523,我期望的价格:0.45
2024-03-14 17:19:05,132 - INFO - get_price.py[49]:当前价格:0.521523,我期望的价格:0.45
2024-03-14 17:20:05,152 - INFO - get_price.py[49]:当前价格:0.521523,我期望的价格:0.45
2024-03-14 17:21:05,178 - INFO - get_price.py[49]:当前价格:0.521523,我期望的价格:0.45
2024-03-14 17:22:05,208 - INFO - get_price.py[49]:当前价格:0.521523,我期望的价格:0.45
2024-03-14 17:23:05,234 - INFO - get_price.py[49]:当前价格:0.519846,我期望的价格:0.45
2024-03-14 17:24:05,268 - INFO - get_price.py[49]:当前价格:0.519769,我期望的价格:0.45
2024-03-14 17:25:05,298 - INFO - get_price.py[49]:当前价格:0.519426,我期望的价格:0.45
2024-03-14 17:26:05,322 - INFO - get_price.py[49]:当前价格:0.519023,我期望的价格:0.45
2024-03-14 17:27:05,356 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 17:28:05,380 - INFO - get_price.py[49]:当前价格:0.518666,我期望的价格:0.45
2024-03-14 17:29:05,411 - INFO - get_price.py[49]:当前价格:0.518158,我期望的价格:0.45
2024-03-14 17:30:05,445 - INFO - get_price.py[49]:当前价格:0.517746,我期望的价格:0.45
2024-03-14 17:31:05,474 - INFO - get_price.py[49]:当前价格:0.517466,我期望的价格:0.45
2024-03-14 17:32:05,505 - INFO - get_price.py[49]:当前价格:0.522389,我期望的价格:0.45
2024-03-14 17:33:05,540 - INFO - get_price.py[49]:当前价格:0.521884,我期望的价格:0.45
2024-03-14 17:34:05,567 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:35:05,602 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:36:05,627 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:37:05,662 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:38:05,683 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:39:05,699 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:40:05,724 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:41:05,759 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:42:05,793 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:43:05,821 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:44:05,847 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:45:05,879 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:46:05,900 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:47:05,929 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:48:05,960 - INFO - get_price.py[49]:当前价格:0.521697,我期望的价格:0.45
2024-03-14 17:49:05,994 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:50:06,018 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:51:06,040 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:52:06,057 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:53:06,072 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:54:06,102 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:55:06,136 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:56:06,164 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:57:06,190 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:58:06,224 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 17:59:06,249 - INFO - get_price.py[49]:当前价格:0.517691,我期望的价格:0.45
2024-03-14 18:00:06,273 - INFO - get_price.py[49]:当前价格:0.51367,我期望的价格:0.45
2024-03-14 18:01:06,307 - INFO - get_price.py[49]:当前价格:0.51367,我期望的价格:0.45
2024-03-14 18:02:06,338 - INFO - get_price.py[49]:当前价格:0.513056,我期望的价格:0.45
2024-03-14 18:03:06,369 - INFO - get_price.py[49]:当前价格:0.512734,我期望的价格:0.45
2024-03-14 18:04:06,387 - INFO - get_price.py[49]:当前价格:0.512734,我期望的价格:0.45
2024-03-14 18:05:06,415 - INFO - get_price.py[49]:当前价格:0.512734,我期望的价格:0.45
2024-03-14 18:06:06,432 - INFO - get_price.py[49]:当前价格:0.512734,我期望的价格:0.45
2024-03-14 18:07:06,466 - INFO - get_price.py[49]:当前价格:0.513,我期望的价格:0.45
2024-03-14 18:08:06,485 - INFO - get_price.py[49]:当前价格:0.513,我期望的价格:0.45
2024-03-14 18:09:06,505 - INFO - get_price.py[49]:当前价格:0.513,我期望的价格:0.45
2024-03-14 18:10:06,535 - INFO - get_price.py[49]:当前价格:0.513,我期望的价格:0.45
2024-03-14 18:11:06,553 - INFO - get_price.py[49]:当前价格:0.513,我期望的价格:0.45
2024-03-14 18:12:06,581 - INFO - get_price.py[49]:当前价格:0.513,我期望的价格:0.45
2024-03-14 18:13:06,613 - INFO - get_price.py[49]:当前价格:0.513096,我期望的价格:0.45
2024-03-14 18:14:06,643 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:15:06,661 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:16:06,688 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:17:06,714 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:18:06,738 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:19:06,767 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:20:06,810 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:21:06,833 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:22:06,866 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:23:06,891 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:24:06,919 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:25:06,958 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:26:06,986 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:27:07,019 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:28:07,041 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:29:07,066 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:30:07,087 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:31:07,103 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:32:07,127 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:33:07,145 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:34:07,174 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:35:07,197 - INFO - get_price.py[49]:当前价格:0.515592,我期望的价格:0.45
2024-03-14 18:36:07,220 - INFO - get_price.py[49]:当前价格:0.509194,我期望的价格:0.45
2024-03-14 18:37:07,244 - INFO - get_price.py[49]:当前价格:0.524793,我期望的价格:0.45
